month,total_sessions,cart_sessions,purchase_sessions,cart_and_purchase,purchase_no_cart,cart_share_of_sessions,purchase_share_within_cart,cart_without_purchase_rate
2019-10,9244421,573098,629560,291861,337699,0.061993931258647786,0.5092689208477433,0.49073107915225667
2019-11,13776050,1743343,773214,648363,124851,0.1265488293088367,0.371907880434315,0.628092119565685
2019-12,15581360,1983488,970005,958022,11983,0.1272987723793045,0.48299863674496646,0.5170013632550335
2020-01,13847854,1543485,690930,679353,11577,0.11146023058879737,0.4401422754351354,0.5598577245648646
2020-02,13544595,1660110,754013,700091,53922,0.12256623398484782,0.4217136213865346,0.5782863786134653
2020-03,12658462,1638659,849142,837221,11921,0.12945166640307487,0.5109183789916023,0.4890816210083977
2020-04,11652261,1826140,786004,783210,2794,0.15671979884419,0.428888256103037,0.5711117438969631
